"item_id","frequency","mean_position","min_position","max_position","sd_position"
"X156",4164,1,1,1,0
"X432",2375,2.24842105263158,2,30,2.22316739926406
"X510",2208,3.72282608695652,2,33,4.69458564463524
"X656",1676,9.27386634844869,3,33,6.33197502121501
"X1069",1627,24.0983405039951,4,456,70.7996769712758
"X775",1620,8.58765432098765,3,35,6.48686386253831
"X391",1564,9.21611253196931,3,39,6.14023336266994
"X846",1547,10.80349062702,3,30,6.93157563028631
"X400",1492,9.44302949061662,3,30,6.33685299707784
"X980",1462,13.1190150478796,4,33,7.25809003097843
"X831",1428,11.2696078431373,3,30,7.50823892155464
"X319",1374,13.5436681222707,5,30,6.1611568937957
"X602",1326,30.2616892911011,6,454,77.6752610810679
"X863",1312,13.0190548780488,4,34,7.61690097705861
"X338",1210,30.703305785124,5,429,76.3690296551479
"X357",1117,11.0752014324082,4,36,6.6623428908613
"X822",1115,10.7318385650224,3,36,7.5718473498806
"X476",1077,37.0037140204271,7,470,87.1006446074077
"X496",1070,9.98411214953271,3,30,6.74739529182043
"X798",1065,32.075117370892,6,500,85.1397899090759
"X1128",1058,17.4877126654064,7,30,5.80104876374664
"X884",1054,9.853889943074,3,30,6.55138930708771
"X528",1050,35.0257142857143,11,358,66.2051892139174
"X1145",1040,38.4307692307692,8,484,90.258419582171
"X1008",1039,12.0336862367661,4,30,6.42444010153576
"X1045",1039,16.274302213667,4,36,7.41469300247221
"X906",1023,12.3255131964809,4,35,6.67138969154185
"X286",1000,17.231,5,30,5.80787141475863
"X522",985,13.5604060913706,4,34,7.10495188571582
"X710",983,12.3611393692777,4,30,6.18575292345623
"X988",972,12.1471193415638,4,30,6.61676878698263
"X1115",968,35.1311983471074,9,499,86.6146856021218
"X377",937,12.8046958377801,4,30,6.90482144027853
"X858",935,36.683422459893,11,341,66.089358535355
"X274",919,12.044613710555,4,30,6.6094910003025
"X544",914,13.0689277899344,4,33,6.97850380726336
"X176",890,14.9224719101124,4,30,6.74237898836306
"X936",860,14.4220930232558,4,33,6.86471467759882
"X426",859,43.0838183934808,11,475,98.3009861363535
"X734",852,11.5422535211268,3,30,7.10302552782475
"X613",848,17.8490566037736,5,37,6.5775439272464
"X116",846,13.7458628841608,4,38,6.69065943629024
"X545",831,12.7220216606498,3,32,7.46693813183091
"X1085",815,45.6453987730061,11,473,100.059162598722
"X810",811,14.3526510480888,4,31,7.44138758136592
"X398",790,45.8164556962025,11,463,99.2943441277582
"X952",789,14.1242078580482,4,30,7.06602542214397
"X706",786,11.8040712468193,3,34,7.11254628203049
"X1040",785,15.5668789808917,5,36,6.70713323952444
"X773",784,14.0548469387755,5,30,6.89185218508333
"X703",782,22.5,13,30,4.14208283259298
"X702",780,14.1474358974359,4,30,7.19916954915121
"X899",766,12.9399477806789,5,30,6.33191290551451
"X514",756,15.542328042328,5,30,6.3161357016913
"X903",738,13.340108401084,4,37,6.78529345829896
"X1107",731,19.2831737346101,7,35,5.73745003702073
"X994",725,12.64,4,30,7.8472150811856
"X153",723,13.9972337482711,3,35,7.95903591680955
"X616",704,19.2528409090909,6,30,6.01006674686924
"X723",702,18.5327635327635,7,30,5.18429902719232
"X330",697,47.6341463414634,11,416,94.4004348942005
"X620",695,20.8532374100719,8,30,5.78842009769651
"X643",694,18.9265129682997,6,34,6.34315166967094
"X678",688,13.8095930232558,4,30,7.23046046216789
"X859",668,14.874251497006,4,30,7.22060157778078
"X323",666,46.8348348348348,13,371,82.6852154855842
