"","M2","df","p","RMSEA","RMSEA_5","RMSEA_95","SRMSR","TLI","CFI"
"stats",42477.7350126967,5668,0,0.039350677288711,0.0389963656122239,0.039696497727954,0.0525992789743434,0.971202972716839,0.972269529282881
"stats",38097.7635981033,5668,0,0.036935395823436,0.0365797022630996,0.0372832058500078,0.0412585996182344,0.980961579961619,0.981666706629707
"stats",63376.2276217323,5668,0,0.0492708136517069,0.0489198166535289,0.0496108278140955,0.0566772408145953,0.94462060739389,0.946671696008931
"stats",53829.4914769228,5668,0,0.0450112247340483,0.044659162539072,0.0453533718016602,0.0611452368711276,0.956663354446986,0.958268415393394
"stats",45027.689080821,5668,0,0.040690843785687,0.0403371749157183,0.0410356840512213,0.0444401848032077,0.972138811467871,0.973170707339431
"stats",48725.2405418335,5668,0,0.0425592496836833,0.0422063542981673,0.0429028462654385,0.0473211921939705,0.972703940425355,0.973714905594787
"stats",51924.1732046135,5668,0,0.0441118951427448,0.0437595489086592,0.0444545521822046,0.0477553824543327,0.965233729068408,0.966521368732541
"stats",47992.4572302991,5668,0,0.0421955415242986,0.0418425057910666,0.0425393699561858,0.0498508970496882,0.963150068781968,0.964514881049302
"stats",70756.6090470562,5668,0,0.0523267017852383,0.051976241183798,0.0526654162703042,0.0617725508206534,0.95153800068727,0.953332889550704
"stats",48706.3296712733,5668,0,0.0425499025815188,0.0421970036477832,0.0428935050633247,0.0495037127579975,0.961568886098135,0.962992260687093
"stats",53502.4846373278,5668,0,0.0448581558837873,0.0445060469917476,0.0452003880934557,0.0481910085504835,0.967323196417548,0.968533448402084
"stats",49470.8617997137,5457,0,0.0438534280171391,0.043494355024191,0.0442029088699294,0.0479287098318968,0.967342765082216,0.96857511356968
