"","Item1","Item2","Q3"
"201","X7752","X7842",0.797799545064439
"24","X7751","X7765",0.578559011743851
"152","X7774","X7827",0.559637579982129
"8","X7739","X7754",0.496127192682069
"177","X7752","X7836",0.493549093329717
"179","X7793","X7836",0.492050199487917
"60","X7752","X7793",0.491501544321932
"20","X7738","X7763",0.476499923569136
"64","X7764","X7794",0.466738417883832
"146","X7761","X7825",0.462088355816166
"134","X7798","X7821",0.453371655504116
"61","X7765","X7793",0.446760000551063
"12","X7736","X7756",0.438824913386581
"9","X7743","X7754",0.424014468360201
"133","X7762","X7821",0.413641021448891
"203","X7793","X7842",0.407146201182372
"136","X7745","X7822",0.405897998594957
"164","X7751","X7832",0.401184217589299
"7","X7750","X7753",0.392912636855061
"21","X7761","X7763",0.389490613639055
"206","X7836","X7842",0.386537204472757
"187","X7734","X7839",0.382624672668757
"63","X7760","X7794",0.378211726125105
"155","X7813","X7827",0.377580896939592
"128","X7809","X7817",0.374359281781422
"147","X7763","X7825",0.373354102736649
"191","X7734","X7841",0.37279123170856
"83","X7797","X7802",0.36185601810264
"111","X7792","X7811",0.356292668089791
"43","X7774","X7778",0.355857005302941
"192","X7751","X7841",0.35445851418095
"114","X7806","X7811",0.353615883480229
"82","X7791","X7802",0.352093658653878
"182","X7751","X7838",0.349113013550376
"1","X7735","X7736",0.348443533417858
"84","X7738","X7804",0.344224314598138
"174","X7778","X7834",0.33866215227241
"167","X7735","X7833",0.330039914215129
"41","X7774","X7775",0.323975916487923
"75","X7792","X7799",0.321254955394642
"68","X7792","X7796",0.318670647057475
"149","X7822","X7825",0.317108170041809
"185","X7767","X7838",0.316529623629358
"158","X7800","X7829",0.31585567835413
"180","X7813","X7837",0.314821019100518
"85","X7763","X7804",0.313318890311763
"80","X7736","X7801",0.310954374823714
"91","X7800","X7805",0.310687951983129
"162","X7752","X7830",0.310684274640915
"11","X7735","X7756",0.309621806994747
"144","X7813","X7824",0.307099722963265
"135","X7742","X7822",0.305815846655149
"99","X7771","X7807",0.305707538468958
"176","X7827","X7834",0.305324349658789
"112","X7796","X7811",0.305219711395284
"197","X7795","X7841",0.302964372285767
"216","X7825","X7844",0.302803417547494
"48","X7741","X7783",0.300482388084125
"154","X7778","X7827",0.297344110326973
"138","X7792","X7822",0.297259775655765
"212","X7832","X7843",0.296224682749104
"18","X7738","X7761",0.295915968759576
"23","X7760","X7764",0.295732124113699
"200","X7839","X7841",0.295571895830317
"196","X7780","X7841",0.295528416399245
"94","X7792","X7806",0.29167269859685
"165","X7765","X7832",0.289842490542044
"86","X7777","X7804",0.288484224242927
"117","X7774","X7813",0.286471237320671
"199","X7838","X7841",0.285464665621351
"30","X7758","X7768",0.284730353775732
