"","Item1","Item2","Q3"
"81","X8101","X8131",0.654627995937202
"166","X8080","X8167",0.638272344563675
"205","X8101","X8176",0.625352584754541
"209","X8131","X8176",0.623116215746745
"29","X8080","X8112",0.615475042476925
"47","X8117","X8119",0.598575612895593
"123","X8130","X8153",0.521859577224308
"105","X8123","X8144",0.514977187911991
"10","X8094","X8095",0.513943155723612
"155","X8125","X8164",0.505601588657996
"148","X8080","X8164",0.491513573585074
"169","X8112","X8167",0.489849315163505
"221","X8135","X8178",0.480054791655222
"213","X8071","X8177",0.4752365153691
"57","X8112","X8125",0.464957312081927
"12","X8088","X8096",0.459841283599804
"18","X8080","X8101",0.458857652527251
"79","X8080","X8131",0.453619512000856
"154","X8119","X8164",0.445072012199118
"62","X8087","X8127",0.444983015234062
"44","X8080","X8119",0.439807670448629
"149","X8084","X8164",0.439275970724892
"125","X8107","X8154",0.437868630870827
"58","X8117","X8125",0.435015043600264
"28","X8091","X8111",0.433911242419481
"153","X8117","X8164",0.431809383021811
"31","X8101","X8112",0.429010849766394
"19","X8073","X8103",0.428157705603076
"37","X8080","X8117",0.426811055462773
"106","X8135","X8144",0.423554143296231
"126","X8150","X8154",0.423433429218899
"222","X8144","X8178",0.416097280007649
"202","X8127","X8175",0.413692901978825
"211","X8166","X8176",0.412895746520935
"87","X8086","X8133",0.404932269877405
"93","X8087","X8138",0.401710263884778
"42","X8112","X8117",0.398186098167724
"26","X8087","X8111",0.390152023215097
"59","X8119","X8125",0.38622403557853
"175","X8164","X8167",0.380070978115069
"83","X8117","X8131",0.378263649314676
"162","X8158","X8165",0.377882396958437
"136","X8102","X8158",0.374004028316363
"229","X8125","X8180",0.371604782632052
"8","X8073","X8094",0.370842415549101
"84","X8119","X8131",0.370409808008613
"152","X8112","X8164",0.369183019150393
"171","X8119","X8167",0.367292044192831
"141","X8088","X8161",0.36655184098681
"165","X8131","X8166",0.36569672202143
"53","X8080","X8125",0.364879166290657
"181","X8089","X8169",0.361106771194416
"170","X8117","X8167",0.360271397938896
"163","X8101","X8166",0.36000023669413
"206","X8112","X8176",0.359926813867059
"116","X8107","X8150",0.358272439748784
"173","X8131","X8167",0.356492512138033
"25","X8096","X8109",0.345416643085075
"82","X8112","X8131",0.34487117870001
"3","X8080","X8084",0.343556842234202
"110","X8110","X8147",0.343488624793212
"51","X8110","X8122",0.342820511967162
"54","X8084","X8125",0.342054718469418
