"","a1","d","g","u"
"X8184",1.34915855350805,-1.15619310126927,0.103052580420529,1
"X8185",18.4656485951706,-7.27236843776285,0.15450294077135,1
"X8186",0.744812956989315,0.52579119870807,0.117697918329293,1
"X8187",-0.846885287814276,-3.28213456582588,4.81670431691325e-06,1
"X8188",-0.7444429477031,-3.99575785283414,1.32156822288891e-05,1
"X8189",0.613629966989786,0.30185624311516,0.000115019574606198,1
"X8190",2.65808402690736,-6.29645252646541,0.00909780642248159,1
"X8191",0.890438066190275,-2.25924643815563,0.0252617761466842,1
"X8192",4.27063389411915,-5.02081126908843,0.155339631112432,1
"X8193",0.201194427367596,-3.65509993845827,0.000255511987763418,1
"X8194",1.38763868863675,-4.55475282475121,0.0666634553382173,1
"X8195",-1.63089095548384,-5.85283952587831,1.51059798599302e-06,1
"X8196",0.231384897955909,-0.25930868014846,0.00022990603672832,1
"X8197",1.26777650691201,0.77430606459652,0.0744931998639882,1
"X8198",3.14633060404522,3.78109878063303,0.256267399954922,1
"X8199",0.63045969103498,-1.17433993706199,3.66807443480642e-05,1
"X8200",-1.45658450454778,-3.07348617862835,4.0343319215322e-06,1
"X8201",-3.92352233901574,-8.49556344394824,0.048043627501077,1
"X8202",1.97920471124293,0.80800735173715,0.164606966439375,1
"X8203",-0.118380796011113,0.583266489158148,0.00191424452360063,1
"X8204",-0.128256935194,-3.65899790204683,0.000159679675399769,1
"X8205",-0.914571001738178,-5.02671751617015,3.69524554209099e-06,1
"X8206",-0.536589692937574,-1.6595015947067,2.95360007457951e-05,1
"X8207",28.8840674075285,-46.4233817824459,0.149842501428436,1
"X8208",-1.03198878007227,-3.61705475409108,2.22962686936088e-06,1
"X8209",-0.400798957561298,-1.34543351208372,4.39850543259777e-05,1
"X8210",-1.0719409499119,-3.65467500779528,2.12191045515921e-05,1
"X8211",2.49416062509785,-2.26964917008595,0.339990266973663,1
"X8212",-22.0961934856227,-45.6543716229206,0.0136510152873294,1
"X8213",-2.09857257837409,-6.2956044487984,0.00522396098921103,1
"X8214",-0.604960409552104,-4.46092452202183,6.36408830314313e-06,1
"X8215",2.49729350139133,-1.01444117021795,0.295860752668011,1
"X8216",-0.96104148024668,-1.9712715986294,0.100784347064977,1
