"","Item1","Item2","Q3"
"19","X7510","X7536",0.671162426367251
"106","X7504","X7584",0.600500151329626
"6","X7510","X7523",0.537755338402141
"33","X7510","X7542",0.535499369202956
"74","X7512","X7568",0.534898446685231
"21","X7523","X7536",0.503364960873234
"39","X7542","X7543",0.474778664893435
"20","X7513","X7536",0.469601336045788
"12","X7519","X7529",0.459648794052271
"48","X7544","X7550",0.455670701190957
"133","X7525","X7594",0.430112136457407
"34","X7523","X7542",0.42860987927228
"94","X7527","X7577",0.428475539261975
"36","X7510","X7543",0.416831380881191
"203","X7564","X7608",0.416195701891259
"226","X7604","X7615",0.410433911640538
"156","X7526","X7600",0.406709389797565
"66","X7506","X7566",0.406401580916987
"81","X7531","X7571",0.393351524315536
"72","X7538","X7566",0.385390621719307
"200","X7513","X7607",0.381315623144043
"65","X7504","X7563",0.377591077065465
"196","X7604","X7605",0.370068766639033
"125","X7585","X7591",0.367503666553969
"216","X7526","X7615",0.367459442721641
"171","X7518","X7604",0.367197358068194
"201","X7536","X7607",0.362843593393828
"89","X7553","X7575",0.360367557661964
"199","X7510","X7607",0.360229749411119
"143","X7566","X7596",0.359532384728392
"178","X7566","X7604",0.358490792344582
"228","X7512","X7616",0.357532951908923
"229","X7568","X7616",0.354318561441788
"35","X7536","X7542",0.354199529965214
"70","X7533","X7566",0.353379128880027
"13","X7506","X7530",0.352305120546654
"182","X7596","X7604",0.350288986896574
"190","X7566","X7605",0.346009264895954
"163","X7526","X7601",0.343098360539097
"215","X7518","X7615",0.342901423436965
"204","X7576","X7608",0.338868849246435
"124","X7566","X7591",0.336970461845317
"104","X7565","X7580",0.334797522728171
"118","X7566","X7588",0.331925106008168
"1","X7504","X7507",0.3315628241671
"139","X7530","X7596",0.331547626304428
"172","X7526","X7604",0.33110372054051
"170","X7506","X7604",0.329559071302491
"224","X7596","X7615",0.32935111984235
"127","X7579","X7592",0.327577773451332
"173","X7530","X7604",0.325456699508638
"136","X7506","X7596",0.319574955868712
"197","X7512","X7606",0.318087351984157
"109","X7538","X7585",0.312984938787802
"46","X7529","X7547",0.311117497556012
"15","X7506","X7533",0.311079414711408
"176","X7538","X7604",0.308403688375805
"166","X7600","X7601",0.307868236164209
"51","X7529","X7553",0.307443411133987
"114","X7574","X7587",0.305764459745923
"175","X7537","X7604",0.305401974058625
"42","X7517","X7546",0.30466305919484
"98","X7506","X7579",0.303502185770192
"194","X7596","X7605",0.303101906329787
"146","X7588","X7596",0.303060386243169
"211","X7585","X7614",0.300092053333538
"64","X7545","X7562",0.299831486607716
"93","X7521","X7577",0.299406417195134
"214","X7506","X7615",0.299335283972058
"123","X7538","X7591",0.298375973608484
"78","X7525","X7570",0.297836323280264
"69","X7530","X7566",0.296177806560443
"7","X7513","X7523",0.295142053290967
"213","X7599","X7614",0.293567813120574
"153","X7526","X7599",0.293499239033388
