"","item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
"57","X8127",144.977704251921,14,0.109588741678051,7.23999188428629e-24
"78","X8148",8.90274391641635,1,0.100721045629138,0.0028474245844606
"84","X8154",94.8956628402001,12,0.0941686950983244,5.53076362172196e-15
"47","X8117",62.3855459175585,8,0.0934174533484449,1.58327383721657e-10
"80","X8150",97.3032231260361,13,0.0912392453604831,5.51531059986446e-15
"109","X8179",104.005788307774,14,0.0908453020675061,8.05993302596746e-16
"65","X8135",14.5252529666055,2,0.0896622279791827,0.000701263757134465
"42","X8112",20.3400760503057,3,0.0861382695227994,0.000144306876252821
"26","X8096",76.967737320229,12,0.0833661065124416,1.55779637520559e-11
"68","X8138",83.7297456430455,14,0.0799606459474551,5.71954261639112e-12
"70","X8140",103.735325838829,18,0.0781942682772563,4.55882390795258e-14
"36","X8106",85.0032604845645,15,0.0774006799277561,8.40078018991936e-12
"1","X8071",84.4015814916005,16,0.0740805761506005,2.65286110327478e-11
"97","X8167",20.887750762745,4,0.0736185367163009,0.00033331562446281
"48","X8118",83.4227665550173,16,0.0735486260751777,3.99715729408718e-11
"49","X8119",40.8536056352868,8,0.0726068837590844,2.22018653024722e-06
"17","X8087",77.7035596932913,16,0.0703600905158244,4.30354442372734e-10
"37","X8107",57.6167533636657,12,0.0698558585048092,6.11506710064155e-08
"50","X8120",33.2162352454336,7,0.069337377861588,2.41300775742855e-05
"101","X8171",33.2078256330511,7,0.0693262559893007,2.42173612054306e-05
"22","X8092",75.6933880246905,16,0.069204509409781,9.84044021200736e-10
"74","X8144",4.70371214155167,1,0.0689524788596312,0.0300975437805833
"105","X8175",68.8856909339502,15,0.0679082235345305,7.04982340739911e-09
"86","X8156",40.4927916641958,9,0.0670217242365486,6.18509395958714e-06
"102","X8172",71.7296767335469,16,0.0668674161497982,4.95781214433335e-09
"46","X8116",63.3353203441678,15,0.0643158394257691,6.67575208969716e-08
"44","X8114",46.3711426668254,11,0.0642479793866855,2.77980679813638e-06
"77","X8147",25.221698024575,6,0.0641285648807948,0.000310639227812311
"4","X8074",61.9056030838992,15,0.0633574958416433,1.18270476440927e-07
"55","X8125",24.6994036594871,6,0.0632513099569676,0.000388093068219606
"14","X8084",45.0415798321048,11,0.0630289078862009,4.77115722447493e-06
"62","X8132",71.0199782549548,18,0.06149145809886,3.03497179295882e-08
"18","X8088",54.8462880981624,14,0.0611988908821151,9.20038866024521e-07
"35","X8105",52.0242425950748,14,0.0590469594914561,2.78557592652804e-06
"38","X8108",66.6073154039888,18,0.0588770221501496,1.67962662370848e-07
"93","X8163",54.4556465285017,15,0.058108574786466,2.20382481869819e-06
"108","X8178",14.2475908572317,4,0.0573471928854923,0.00654536596271272
"76","X8146",20.537178377715,6,0.0557693657880485,0.00222087558183837
"85","X8155",61.0650456401712,18,0.0554188455404248,1.37503913342066e-06
"90","X8160",57.5012751570085,17,0.0553020408829371,2.6995354597189e-06
"94","X8164",23.3921362859327,7,0.0548277001841963,0.00145615481988249
"27","X8097",42.6904595825801,13,0.054146208976594,5.04726740249047e-05
"98","X8168",58.6471424557256,18,0.0538406170302663,3.37855671054352e-06
