"","Item1","Item2","Q3"
"34","X7888","X7892",0.802692355807772
"98","X7891","X7937",0.660967012287579
"96","X7862","X7937",0.609028325018832
"31","X7871","X7891",0.583488219896795
"135","X7937","X7948",0.561726368694149
"29","X7849","X7891",0.546219814039321
"92","X7845","X7936",0.509373414876265
"97","X7871","X7937",0.504361235075288
"30","X7862","X7891",0.503429769999817
"146","X7933","X7952",0.461920593492775
"95","X7849","X7937",0.456586306856931
"47","X7904","X7905",0.452261448077137
"108","X7867","X7942",0.446201603794935
"93","X7846","X7936",0.446007396303288
"132","X7891","X7948",0.44424291112415
"84","X7853","X7933",0.43460263802616
"129","X7862","X7948",0.410617707058074
"40","X7857","X7901",0.382273748405411
"163","X7903","X7957",0.377478671601011
"99","X7913","X7937",0.376778372836838
"3","X7846","X7858",0.363424108842625
"23","X7859","X7884",0.356023781821357
"2","X7845","X7847",0.351408829313664
"36","X7854","X7896",0.344460957772795
"5","X7857","X7863",0.33980217726311
"130","X7871","X7948",0.337572988069899
"121","X7913","X7947",0.335690576266695
"20","X7879","X7881",0.327808908457057
"22","X7847","X7884",0.321730218473519
"46","X7897","X7904",0.316848541111953
"49","X7867","X7909",0.315604522487843
"10","X7862","X7871",0.314535953182779
"88","X7929","X7933",0.310068568341055
"127","X7849","X7948",0.307015498476501
"66","X7916","X7917",0.303858488716766
"57","X7891","X7913",0.302292036101151
"113","X7850","X7944",0.301280015113843
"56","X7871","X7913",0.300417459793207
"141","X7853","X7952",0.298991335800758
"91","X7925","X7935",0.29659133804007
"58","X7859","X7915",0.292692021743924
"80","X7899","X7929",0.291026183814714
"110","X7873","X7942",0.290091033770527
"52","X7895","X7910",0.287847316828429
"103","X7931","X7939",0.285259233997311
"68","X7904","X7918",0.279282624138342
"55","X7862","X7913",0.275979462269658
"72","X7897","X7921",0.275973893310887
"100","X7853","X7939",0.27515585013683
"147","X7891","X7953",0.273128837064572
"161","X7882","X7957",0.272114748734675
"148","X7937","X7953",0.271912596046021
"1","X7845","X7846",0.271307696773302
"41","X7863","X7901",0.271087586949204
"160","X7863","X7957",0.266619489295859
"11","X7850","X7872",0.26541396644767
"63","X7857","X7917",0.263260171163097
"115","X7892","X7944",0.263025043634279
"78","X7879","X7929",0.262468644279218
"15","X7847","X7874",0.26180044510648
"85","X7859","X7933",0.261739242355344
"35","X7851","X7895",0.260040681824946
"123","X7925","X7947",0.259564061279918
"89","X7847","X7935",0.25909049271295
"67","X7897","X7918",0.258785902322642
"106","X7901","X7941",0.258090821350792
"117","X7864","X7945",0.256955871601705
"128","X7861","X7948",0.256396031166608
"17","X7867","X7880",0.256334484390151
"62","X7851","X7917",0.25514694892257
"112","X7909","X7942",0.254711735707255
"45","X7852","X7904",0.254420573823603
"151","X7899","X7954",0.253742818366118
"82","X7895","X7931",0.252994596540737
"73","X7882","X7924",0.251204379851886
"152","X7920","X7954",0.250516826846348
"101","X7895","X7939",0.250062329050164
"154","X7931","X7954",0.249985615978979
"75","X7925","X7926",0.249047797152643
"43","X7895","X7902",0.248449212265992
"81","X7851","X7931",0.248297797709818
"32","X7850","X7892",0.248240771121166
"6","X7866","X7867",0.247787868833546
"25","X7864","X7886",0.24762557256423
"126","X7946","X7947",0.246323595557398
"133","X7913","X7948",0.243522737040082
"74","X7902","X7925",0.241714899984985
"109","X7872","X7942",0.241320726549353
"13","X7867","X7873",0.240711616956997
"137","X7885","X7949",0.240216429227186
"87","X7910","X7933",0.239503279727894
"86","X7890","X7933",0.238353373566868
"138","X7914","X7949",0.237911259834227
"16","X7846","X7876",0.237729638289317
"59","X7890","X7915",0.237146500747131
"122","X7924","X7947",0.23676631234802
"44","X7882","X7903",0.236277275056392
"9","X7849","X7871",0.233348702944387
"33","X7873","X7892",0.232556498814234
"19","X7867","X7881",0.231908926905286
"64","X7863","X7917",0.231503556894684
"159","X7857","X7957",0.231349004757864
"149","X7948","X7953",0.2310648267096
"24","X7869","X7884",0.230377338385789
"139","X7902","X7951",0.230180693736107
"125","X7937","X7947",0.22977667810327
"4","X7850","X7863",0.227835750235335
"143","X7902","X7952",0.227669420891975
"104","X7872","X7940",0.226397359931659
"37","X7897","X7898",0.226264832785428
"14","X7872","X7873",0.226089905253477
"21","X7863","X7882",0.224774854390657
"105","X7847","X7941",0.22461833359429
"90","X7864","X7935",0.2243622220675
"162","X7901","X7957",0.224312703930736
"102","X7915","X7939",0.224153017404734
"155","X7851","X7955",0.223701186902903
"124","X7926","X7947",0.222832456446258
"51","X7881","X7909",0.222676951403897
"165","X7917","X7957",0.222198262204753
"120","X7868","X7947",0.221793333928155
"164","X7916","X7957",0.221036206789686
"28","X7853","X7890",0.220945357681167
"94","X7858","X7936",0.220562101423697
"18","X7866","X7881",0.219817648131899
"27","X7856","X7888",0.219735546895386
"39","X7881","X7899",0.218593522595559
"111","X7880","X7942",0.21850966037294
"70","X7878","X7920",0.216993977527648
"156","X7895","X7955",0.216697167242087
"53","X7846","X7912",0.214866675450309
"140","X7910","X7951",0.214663730284948
"38","X7867","X7899",0.214340983104385
"153","X7929","X7954",0.21425015261569
"12","X7850","X7873",0.213618437983616
"83","X7873","X7932",0.213496420265974
"158","X7877","X7956",0.213431904366416
"65","X7901","X7917",0.213388730015447
"119","X7925","X7946",0.213321686286707
"145","X7929","X7952",0.213055399745034
"77","X7866","X7929",0.213027894099629
"150","X7851","X7954",0.212726312841562
"131","X7874","X7948",0.21261085057448
"134","X7915","X7948",0.212465818633883
"26","X7850","X7888",0.211408181777326
"50","X7879","X7909",0.211136036068456
"114","X7888","X7944",0.211076502014628
"166","X7949","X7957",0.210490804582877
"71","X7895","X7920",0.209215630692355
"116","X7905","X7944",0.20912777498819
"61","X7882","X7916",0.208097121203647
"144","X7910","X7952",0.205154837625819
"54","X7849","X7913",0.204880284467407
"7","X7847","X7869",0.204405433457428
"76","X7879","X7928",0.204329401690242
"136","X7876","X7949",0.204325827195037
"8","X7845","X7871",0.204321055550444
"69","X7908","X7918",0.20342133663641
"107","X7918","X7941",0.202422898333373
"157","X7917","X7955",0.20230167092369
"79","X7881","X7929",0.202092248793672
"118","X7915","X7946",0.202060749807974
"48","X7904","X7908",0.201974711366741
"42","X7888","X7902",0.201926853557513
"60","X7913","X7915",0.200720420724761
"142","X7864","X7952",0.200657811584783
