"","item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
"33","X7764",103.468823525759,10,0.109537962731199,1.09940012096222e-17
"63","X7794",85.3232588471543,9,0.104337029773404,1.40609254488374e-14
"22","X7753",38.9976314114731,5,0.0934266119098751,2.37744492307283e-07
"3","X7734",18.4716313022947,3,0.0813652002244911,0.000351539480322599
"44","X7775",54.316404954464,10,0.0754246897214153,4.23628969887457e-08
"29","X7760",69.85053990118,13,0.0749250241753218,8.55190221343405e-10
"27","X7758",71.6698079937166,15,0.0696404409347251,2.24827530975471e-09
"23","X7754",22.9409548103297,5,0.0678686241488562,0.000346453244545085
"56","X7787",60.2169960028622,14,0.0650980695967055,1.07473301590481e-07
"107","X7838",50.0566280936678,13,0.0604912479836342,2.9155063735626e-06
"38","X7769",33.9433006835641,9,0.0596467764261833,9.13893423282648e-05
"108","X7839",29.8666473512455,8,0.0592348616140101,0.000223162888963516
"24","X7755",70.5922250929616,19,0.0590400341541874,7.33048945903399e-08
"19","X7750",28.7262993834263,8,0.0576696294899219,0.0003541397185958
"40","X7771",65.4825424419892,19,0.0560401653388587,5.09603347536059e-07
"59","X7790",69.65107525463,21,0.0545340617290012,3.99660485941688e-07
"92","X7823",65.5135088064721,21,0.0521635978841433,1.80671724639034e-06
"2","X7733",46.7458901140572,15,0.0521229990244695,4.04334125333176e-05
"95","X7826",30.78717799908,10,0.0516569830934882,0.000636131542718627
"96","X7827",9.08613855603353,3,0.051031879235881,0.0281672812566194
"110","X7841",30.2833093588369,10,0.0510270754966449,0.000769829076492748
"76","X7807",66.5905602970338,22,0.0510083641089336,2.24953502958331e-06
"74","X7805",62.3475963471247,21,0.0502743839686125,5.5995502255671e-06
"51","X7782",50.6897432863371,18,0.0482837256571904,5.93292824143818e-05
"8","X7739",11.2229254809193,4,0.0481457373869832,0.0241696438634895
"31","X7762",8.37713039036809,3,0.0479673722653249,0.0388278485100518
"87","X7818",2.78048426870073,1,0.0478079742181742,0.0954193127083904
"18","X7749",50.2002003951728,19,0.0459127348052181,0.000122457704098396
"43","X7774",13.2011072112283,5,0.0458862443729239,0.0215653238247136
"99","X7830",2.63834468659779,1,0.0458599851391999,0.104312178337494
"45","X7776",50.0823293482041,19,0.0458259260185027,0.000127454117783389
"71","X7802",52.0792329098122,20,0.0453762143486474,0.000110869123348731
"70","X7801",2.56710803376648,1,0.0448518891024061,0.109107030636766
"112","X7843",42.5924308257502,17,0.0439604955608752,0.000550434565864573
"1","X7732",40.0423298554556,16,0.0439197192687923,0.000767586803994203
"88","X7819",47.2035302281031,19,0.0436522070840111,0.000333990756668647
"16","X7747",49.3125100560732,20,0.0433753285945485,0.000277592756426134
"113","X7844",46.8052099921623,19,0.043342859529671,0.000380809690002107
"26","X7757",39.105114134117,16,0.0430551730312706,0.00105025678388974
"47","X7778",4.88621150357414,2,0.0430408014887583,0.0868905714204049
"84","X7815",21.6907298697676,9,0.0425454690947095,0.00991255411100808
"34","X7765",9.5072909447773,4,0.0420407335970616,0.0495976501058672
"42","X7773",33.0701353066987,14,0.0418161592044557,0.00281466494535878
"37","X7768",37.7220828683758,16,0.0417466867275226,0.00165765511948307
"64","X7795",32.8443670681185,14,0.0415678948634378,0.00303361156610166
"98","X7829",46.3503181772131,20,0.0411253119408774,0.000721401998434619
"61","X7792",45.2453023130577,20,0.040253770036132,0.0010219942255854
"72","X7803",42.8605876116802,19,0.0401508772065491,0.00135440562739003
"53","X7784",31.5745278946094,14,0.0401429317470354,0.0046025696907213
"6","X7737",39.1549081074264,18,0.0388419111252904,0.00271624531508371
"66","X7797",45.6406296006132,21,0.038810346844973,0.00142602569909547
"86","X7817",23.7130076514325,11,0.0385175879389096,0.0139989239908715
"50","X7781",38.7195272406888,18,0.0384401381258369,0.00310723762353111
"39","X7770",40.8184418056823,19,0.0383942630904635,0.00255141498913946
"11","X7742",23.605071053588,11,0.0383537274412067,0.0145049319889055
"9","X7740",38.4039320203921,18,0.0381462589485832,0.00342358432611218
"65","X7796",41.5217108368809,20,0.0371667570944679,0.00319079852765861
"81","X7812",35.1784813771146,17,0.0370497780193218,0.00589388720272807
"90","X7821",16.4878837233808,8,0.0369050661752557,0.0359061320454179
"78","X7809",20.4154292337313,10,0.0365653603233341,0.0255594318467903
"69","X7800",42.5859370953012,21,0.0363251216474151,0.0035487509574481
"58","X7789",26.1214158885273,13,0.0359956437910094,0.0163737979095273
"17","X7748",39.8368237611582,20,0.0356822589629026,0.0052380810366157
"83","X7814",34.8074989833551,18,0.0346215546386434,0.00999366923427127
"32","X7763",40.5055847616102,21,0.0345303603943085,0.00645114050815815
"36","X7767",32.6622767732809,17,0.0343901648482598,0.0124349436633866
"101","X7832",16.5727223904813,9,0.0328651814643699,0.0558429713004806
"30","X7761",30.8920440299462,17,0.0323884292201591,0.0205846323238285
"82","X7813",19.8881083059489,11,0.0322062083091533,0.0468989876939512
"60","X7791",36.5361009352762,21,0.0308171619627659,0.0190186407172951
"75","X7806",29.657848343945,18,0.0288339551949198,0.0409087167311418
"35","X7766",32.6775797406649,20,0.028525577717635,0.0365922319476578
"14","X7745",14.5263902708867,9,0.028075712861341,0.104793986398631
"89","X7820",22.5134135680231,14,0.0279395314683468,0.0686625356435633
"103","X7834",8.01535795925451,5,0.0278237528361685,0.155391248965464
"10","X7741",23.5409233984562,15,0.0270357271642475,0.0733108696247442
"55","X7786",29.708950548268,19,0.0268984916429007,0.055621320454632
"67","X7798",13.9248432425772,9,0.0265036826159872,0.125023928024677
"7","X7738",31.8035006221016,21,0.0256982692128159,0.0612860687017436
"52","X7783",2.92558408123909,2,0.0243738543556067,0.231588765973393
"68","X7799",27.2653558208617,19,0.0236311712783534,0.0986224521995777
"109","X7840",17.0943530783939,12,0.0233445318465952,0.146082402475383
"102","X7833",4.1900921552906,3,0.0225663302731867,0.241655722184516
"80","X7811",26.5122869284139,19,0.0225289294136201,0.116536328210458
"94","X7825",23.2762158474711,17,0.0217698655091244,0.140472488274841
"104","X7835",24.1084267397111,18,0.0208717903329106,0.151507542836392
"77","X7808",27.7641880154706,21,0.02033431088693,0.146966854784645
"85","X7816",24.7552934483584,19,0.0197191507332009,0.168755689693456
"91","X7822",18.2304642049652,14,0.0196952394709533,0.196485004981411
"106","X7837",13.6135781863681,11,0.0174643600753147,0.255117745365217
"73","X7804",26.5952838368915,22,0.0163748036682571,0.227002435322248
"48","X7779",22.720008607089,19,0.0158535469476122,0.249899460322297
"15","X7746",20.0405229978948,17,0.0151523836122235,0.272161836294262
"100","X7831",20.8946870425071,18,0.0143679837174601,0.28475948238682
"54","X7785",20.3800811655979,18,0.0130283945567636,0.311832762431598
"57","X7788",16.9329068262192,15,0.0128614845848732,0.322891049412179
"79","X7810",17.8228454003838,16,0.012093338193288,0.334372370479863
"97","X7828",19.0330122719402,18,0.00858317088363294,0.389793236839589
"41","X7772",13.2730817653999,13,0.00519285200998637,0.426946299157232
"13","X7744",13.4691292866384,19,0,0.81371312644852
"28","X7759",5.44589988066623,7,0,0.605717137833103
"46","X7777",16.5573915966643,19,0,0.619825767536439
"93","X7824",15.5858962235838,16,0,0.482216405139627
"4","X7735",NA,0,NA,NA
"5","X7736",NA,NA,NA,NA
"12","X7743",NA,0,NA,NA
"20","X7751",NA,NA,NA,NA
"21","X7752",NA,0,NA,NA
"25","X7756",NA,0,NA,NA
"49","X7780",NA,0,NA,NA
"62","X7793",NA,0,NA,NA
"105","X7836",NA,0,NA,NA
"111","X7842",NA,0,NA,NA
