"","Item1","Item2","Q3"
"201","X8415","X8519",0.768664174604084
"233","X8521","X8522",0.540985682635605
"3","X8415","X8418",0.539675304473177
"141","X8491","X8499",0.524751291791895
"158","X8469","X8509",0.503489796260858
"148","X8454","X8503",0.498555930163637
"91","X8420","X8473",0.49559416631491
"138","X8425","X8499",0.489760212045027
"171","X8499","X8510",0.481961264506198
"225","X8469","X8521",0.466465813229649
"202","X8418","X8519",0.461939833392092
"170","X8491","X8510",0.456320881773483
"8","X8422","X8423",0.452130150057183
"89","X8469","X8470",0.448404257333912
"104","X8474","X8481",0.443902271319124
"213","X8415","X8520",0.412836126688977
"227","X8509","X8521",0.406759563851952
"79","X8414","X8466",0.400347905052421
"228","X8469","X8522",0.399218305909884
"220","X8510","X8520",0.381184579837045
"122","X8425","X8491",0.380322799494828
"160","X8472","X8509",0.376791777232703
"60","X8452","X8458",0.375217040879652
"112","X8460","X8483",0.36619582525184
"229","X8470","X8522",0.364782556350479
"7","X8421","X8423",0.364208527082065
"188","X8456","X8516",0.356764712825652
"224","X8519","X8520",0.354399719573996
"9","X8417","X8424",0.353380290393833
"208","X8459","X8519",0.352675270497712
"103","X8450","X8481",0.350226411651918
"54","X8418","X8456",0.34990385724269
"61","X8415","X8459",0.342125221647466
"149","X8475","X8503",0.341030743738431
"132","X8414","X8498",0.340318167213997
"180","X8505","X8514",0.339778603093781
"165","X8425","X8510",0.337695945781103
"232","X8509","X8522",0.334583703996444
"121","X8423","X8491",0.333899414910469
"50","X8442","X8453",0.332871363124149
"73","X8459","X8463",0.329519201461628
"2","X8411","X8418",0.329481013476828
"37","X8423","X8445",0.325464232217466
"226","X8470","X8521",0.32093515538169
"211","X8516","X8519",0.314131484243532
"19","X8412","X8436",0.313878794386105
"107","X8423","X8482",0.31350187298276
"99","X8477","X8479",0.311309253473589
"67","X8415","X8463",0.311004183713839
"87","X8428","X8470",0.308993857628939
"6","X8421","X8422",0.307585040515552
"164","X8423","X8510",0.307437726368049
"52","X8411","X8456",0.305458472965627
"142","X8411","X8501",0.30421264004847
"210","X8513","X8519",0.304148260812082
"176","X8411","X8513",0.302937011373192
"135","X8461","X8498",0.30172443121637
"93","X8454","X8475",0.298719289538408
"101","X8470","X8480",0.295640345306288
"183","X8497","X8515",0.29542293885174
