"","Item1","Item2","Q3"
"49","X8783","X8801",0.582630191659536
"89","X8810","X8819",0.545480742536137
"97","X8767","X8823",0.532011956658687
"77","X8808","X8816",0.490551917985633
"56","X8782","X8808",0.469223983320589
"99","X8776","X8823",0.450618357103015
"187","X8797","X8854",0.447854020415899
"80","X8759","X8817",0.441698409294894
"149","X8810","X8843",0.428158387615127
"92","X8773","X8822",0.426421980956026
"17","X8767","X8776",0.412836444819146
"105","X8800","X8826",0.409992303201744
"117","X8833","X8835",0.39901569933877
"50","X8753","X8803",0.389133394546472
"47","X8754","X8801",0.385412263982321
"52","X8787","X8804",0.377045907781878
"76","X8782","X8816",0.373305198072923
"108","X8758","X8830",0.36866350187571
"144","X8764","X8843",0.36298843125903
"171","X8822","X8848",0.361806435434726
"130","X8771","X8840",0.358536709443846
"107","X8758","X8829",0.357619189174885
"62","X8783","X8810",0.356482471434503
"4","X8749","X8759",0.352281036422509
"125","X8751","X8839",0.349199269380458
"156","X8776","X8844",0.34813899126123
"43","X8755","X8798",0.347601423099423
"8","X8757","X8767",0.34640381564939
"185","X8777","X8854",0.346076628825026
"46","X8751","X8801",0.340360905961576
"102","X8767","X8825",0.339367687266467
"95","X8757","X8823",0.338161621732247
"123","X8829","X8838",0.33815862032508
"93","X8776","X8822",0.336118709053762
"169","X8773","X8848",0.330995089365087
"38","X8755","X8797",0.328777220888415
"133","X8810","X8840",0.32656129879189
"122","X8758","X8838",0.324577726492318
"159","X8823","X8844",0.323631079958042
"69","X8784","X8813",0.322220951610985
"78","X8814","X8816",0.322140878033204
"114","X8794","X8833",0.321795154541056
"67","X8773","X8812",0.320093797995518
"15","X8757","X8776",0.317874494274581
"60","X8764","X8810",0.31172787804366
"150","X8819","X8843",0.311215875506309
"66","X8763","X8812",0.309338550595669
"68","X8755","X8813",0.308776788898354
"147","X8783","X8843",0.308377388217448
"124","X8830","X8838",0.307073881530454
"84","X8796","X8817",0.30592952745457
"131","X8774","X8840",0.304991165031026
"162","X8817","X8845",0.301267096032927
"183","X8752","X8854",0.299045861530452
"157","X8812","X8844",0.297786972687359
"115","X8764","X8834",0.297610255664388
"74","X8749","X8815",0.29759750664339
"154","X8767","X8844",0.297555088210387
"132","X8787","X8840",0.296443019662824
"110","X8756","X8831",0.294623571118546
"94","X8812","X8822",0.29177711260551
"104","X8823","X8825",0.290708942591668
"39","X8777","X8797",0.289741049005083
"170","X8776","X8848",0.288061391346283
"10","X8767","X8772",0.285611818658517
"79","X8749","X8817",0.285447186799928
"82","X8770","X8817",0.284943645876544
"65","X8801","X8810",0.283232688802163
"172","X8823","X8848",0.283140366838398
"138","X8834","X8841",0.279562448187528
"134","X8819","X8840",0.275273213882931
"1","X8750","X8751",0.273986090123735
"3","X8749","X8755",0.273619312534185
"37","X8752","X8797",0.273363114831745
"54","X8776","X8805",0.26989377987297
"32","X8767","X8790",0.269801065128924
"140","X8782","X8842",0.268814625221535
"19","X8752","X8777",0.26772277890244
"26","X8754","X8783",0.267376620652653
"106","X8817","X8827",0.266961747407252
"48","X8770","X8801",0.266605694056383
"190","X8846","X8854",0.263979013379418
"128","X8801","X8839",0.263317691915911
"28","X8755","X8784",0.262211074818657
"45","X8797","X8798",0.26064812961188
"176","X8830","X8850",0.260624693147912
"36","X8778","X8794",0.259686111723588
"11","X8753","X8773",0.259140865543817
"155","X8773","X8844",0.255958550593971
"186","X8782","X8854",0.255429565784105
"137","X8795","X8841",0.254390755841087
"188","X8808","X8854",0.254259955868655
"72","X8808","X8814",0.252341301159127
"59","X8781","X8809",0.250305893664197
"146","X8771","X8843",0.249502037233393
"5","X8755","X8759",0.24851101226329
"153","X8757","X8844",0.247804345459663
"58","X8760","X8809",0.247679479912624
"6","X8751","X8760",0.247668748330675
"25","X8751","X8783",0.246723936328969
"148","X8801","X8843",0.245018559879419
"57","X8797","X8808",0.244706500236355
"7","X8759","X8762",0.243923804512983
"163","X8752","X8846",0.24321905717237
"75","X8797","X8815",0.2429575246684
"18","X8772","X8776",0.241374635824804
"141","X8798","X8842",0.240710189269372
"81","X8768","X8817",0.239958291960466
"12","X8763","X8773",0.239543925399928
"173","X8773","X8849",0.239238119292458
"145","X8769","X8843",0.239008379065734
"175","X8812","X8849",0.236707705488984
"24","X8777","X8782",0.236486436925242
"112","X8764","X8832",0.235193403070723
"21","X8749","X8779",0.233304117260651
"181","X8795","X8853",0.233242518067316
"158","X8822","X8844",0.232652907151452
"109","X8829","X8830",0.231856965130207
"142","X8812","X8842",0.231157145463788
"118","X8760","X8836",0.23098956725218
"101","X8822","X8823",0.230867141814483
"41","X8782","X8797",0.229986360009046
"135","X8822","X8840",0.228345358948673
"126","X8770","X8839",0.22798316064721
"83","X8779","X8817",0.227925219983251
"136","X8764","X8841",0.227358931260603
"70","X8797","X8813",0.226663465705018
"161","X8750","X8845",0.22651727454851
"23","X8752","X8782",0.226423726301201
"22","X8749","X8781",0.226126502213459
"88","X8764","X8819",0.226036692827068
"164","X8777","X8846",0.224647691738154
"180","X8791","X8853",0.224364145381655
"165","X8797","X8846",0.224223834178828
"184","X8755","X8854",0.224180573421892
"103","X8776","X8825",0.224083700037179
"121","X8749","X8837",0.224045080952771
"111","X8767","X8831",0.224033969108258
"40","X8779","X8797",0.223549494529239
"166","X8808","X8846",0.222527120453394
"139","X8773","X8842",0.221872670864634
"13","X8771","X8774",0.221757302732629
"98","X8772","X8823",0.221750008431617
"167","X8832","X8847",0.221542624901982
"113","X8811","X8832",0.221035000311717
"9","X8754","X8770",0.220959104244536
"27","X8764","X8783",0.220874183740775
"29","X8784","X8786",0.220339644897443
"73","X8810","X8814",0.220221855033476
"174","X8774","X8849",0.220162394672487
"116","X8832","X8834",0.219925682641574
"53","X8767","X8805",0.218224447809678
"86","X8814","X8817",0.217528905977597
"2","X8751","X8754",0.217190445454158
"64","X8787","X8810",0.216391468580819
"44","X8764","X8798",0.216003295156687
"33","X8787","X8791",0.215582148052605
"71","X8798","X8813",0.215356785727792
"14","X8773","X8774",0.214553368620512
"168","X8767","X8848",0.214060165822895
"90","X8767","X8822",0.213780724300587
"119","X8792","X8836",0.212973467441878
"152","X8842","X8843",0.212333927740249
"42","X8786","X8797",0.212083120168994
"160","X8825","X8844",0.211839914990388
"34","X8780","X8793",0.211775695260183
"120","X8818","X8836",0.211755196814155
"51","X8761","X8804",0.210974170233074
"85","X8803","X8817",0.208228794005814
"35","X8784","X8793",0.208054780785282
"20","X8753","X8778",0.207316994339431
"182","X8814","X8853",0.207312028824696
"96","X8765","X8823",0.20702849608729
"127","X8783","X8839",0.206851286410563
"100","X8805","X8823",0.206512987616361
"179","X8774","X8853",0.206145973936908
"55","X8777","X8808",0.20543285206732
"91","X8771","X8822",0.205429504224714
"189","X8816","X8854",0.205147946984759
"61","X8771","X8810",0.204943880511346
"63","X8785","X8810",0.204775702472347
"31","X8786","X8788",0.204752271820654
"129","X8836","X8839",0.204295136204703
"177","X8786","X8851",0.204089266819794
"16","X8765","X8776",0.203962582268994
"87","X8816","X8817",0.203547044235028
"30","X8760","X8787",0.203511203938659
"151","X8840","X8843",0.202661144742591
"178","X8836","X8851",0.20255103560401
"143","X8840","X8842",0.201361338119706
