"","Item1","Item2","Q3"
"61","X7964","X8009",1
"11","X7965","X7981",0.553102684378504
"243","X8062","X8067",0.546820026825021
"169","X7981","X8042",0.532016539780435
"166","X7965","X8042",0.527386570460173
"33","X7980","X7994",0.512106817301441
"123","X8026","X8032",0.499709421480982
"14","X7965","X7984",0.498574462158415
"47","X7968","X8003",0.49674147929201
"182","X8040","X8043",0.492919501955328
"32","X7965","X7994",0.483693743559326
"29","X7984","X7989",0.483656083260993
"5","X7964","X7971",0.467496567759844
"62","X7971","X8009",0.467496567759844
"67","X7984","X8011",0.460201854506496
"253","X8040","X8068",0.445143894204619
"35","X7984","X7994",0.440432401165337
"109","X7986","X8028",0.439497887769054
"158","X7966","X8040",0.439103508836772
"231","X8044","X8062",0.435345506984255
"36","X7989","X7994",0.435339267498345
"138","X7998","X8036",0.431633924280703
"245","X7966","X8068",0.429847316460042
"18","X7981","X7984",0.416343701889936
"174","X7966","X8043",0.409042972474942
"232","X7960","X8063",0.409039643216101
"88","X7968","X8022",0.396060078763652
"250","X8031","X8068",0.395194684905704
"27","X7980","X7989",0.394109042631321
"119","X7993","X8032",0.385517724792462
"140","X8019","X8036",0.382388690390009
"168","X7980","X8042",0.382008829969865
"24","X7965","X7989",0.379503646814155
"92","X8005","X8023",0.377781783016162
"242","X8044","X8067",0.374745994119502
"34","X7981","X7994",0.373836980133022
"10","X7965","X7980",0.371315998208944
"160","X7993","X8040",0.371077713818702
"240","X7988","X8067",0.366093903926367
"258","X8062","X8069",0.36087850366617
"53","X7989","X8004",0.35775916569215
"211","X8024","X8056",0.355371714712062
"254","X8043","X8068",0.355004759454527
"12","X7980","X7981",0.351902626284198
"213","X7968","X8057",0.351126976792381
"15","X7969","X7984",0.35020996460038
"122","X8019","X8032",0.350098972304612
"65","X7965","X8011",0.348051971085379
"251","X8032","X8068",0.345807187223116
"44","X7972","X8000",0.34519567528189
"205","X8034","X8053",0.339858377956948
"105","X8011","X8027",0.339799813525467
"178","X8031","X8043",0.338275981796701
"179","X8032","X8043",0.329255630102702
"261","X8056","X8070",0.328828035664105
"40","X7963","X7999",0.328362209495193
"156","X7993","X8039",0.32671320018331
"215","X7999","X8058",0.320327559350165
"111","X7986","X8030",0.318238393651663
"99","X7998","X8026",0.313575665241338
"50","X7980","X8004",0.31340576721671
"117","X7966","X8032",0.3127353116172
"171","X7989","X8042",0.312522929180049
"17","X7980","X7984",0.311491487370425
"125","X7960","X8033",0.310446337920895
"121","X8006","X8032",0.310285311080506
"150","X8019","X8038",0.309917717445722
