"","Item1","Item2","Q3"
"51","X8229","X8234",0.715303398058462
"89","X8228","X8264",0.680784615141577
"157","X8205","X8291",0.609325856409685
"91","X8229","X8266",0.596259257259095
"41","X8213","X8229",0.588149059484983
"82","X8229","X8260",0.585570070979526
"118","X8230","X8273",0.55880833825185
"136","X8228","X8284",0.49762729757453
"42","X8224","X8229",0.463657196256728
"151","X8201","X8290",0.435005768616224
"83","X8234","X8260",0.414735911507114
"164","X8291","X8292",0.405853732244667
"159","X8224","X8291",0.403994053022133
"49","X8213","X8234",0.401448630685007
"128","X8189","X8281",0.396973541880618
"99","X8235","X8269",0.396482702545671
"175","X8207","X8295",0.376232234795441
"93","X8251","X8266",0.372230901577827
"78","X8203","X8258",0.361561310256388
"32","X8213","X8224",0.359940328332292
"29","X8203","X8223",0.358244273151973
"45","X8199","X8231",0.345842524876021
"44","X8227","X8230",0.344961042667487
"143","X8268","X8287",0.343659851312994
"129","X8241","X8281",0.342941606462176
"158","X8214","X8291",0.342835017079331
"92","X8234","X8266",0.342646607037742
"90","X8213","X8266",0.342596791596525
"76","X8254","X8257",0.341130793258685
"50","X8224","X8234",0.339103351242414
"81","X8224","X8260",0.336587417737041
"137","X8264","X8284",0.334889105494352
"80","X8213","X8260",0.334020977394956
"152","X8207","X8290",0.333203433610105
"39","X8195","X8228",0.330689489098551
"109","X8243","X8270",0.327692685242129
"184","X8281","X8296",0.327089098599028
"70","X8233","X8252",0.325981142784472
"121","X8218","X8274",0.321465602166801
"28","X8190","X8222",0.320040940624252
"180","X8258","X8296",0.319905461537075
"165","X8188","X8293",0.31889876018694
"131","X8258","X8281",0.309847080242873
"119","X8190","X8274",0.30846704133155
"117","X8227","X8273",0.307397900210635
"150","X8287","X8289",0.305814099764259
"112","X8247","X8271",0.303287886882794
"64","X8244","X8246",0.30194052041422
"126","X8274","X8277",0.299553955012196
"60","X8216","X8243",0.297741725918867
"178","X8189","X8296",0.294681468933965
"103","X8187","X8270",0.29439293036878
"120","X8194","X8274",0.293712190871147
"95","X8192","X8267",0.292422575264296
"111","X8246","X8271",0.290459735927272
"155","X8287","X8290",0.28796413853901
"37","X8195","X8227",0.287895383591836
"72","X8198","X8255",0.286766376694962
"47","X8203","X8232",0.282417113597834
"101","X8246","X8269",0.281584372787278
"94","X8260","X8266",0.280870602911309
"183","X8280","X8296",0.280121712771175
"36","X8197","X8225",0.276682359091559
"3","X8190","X8194",0.275003295140781
"171","X8188","X8294",0.274503830529798
"176","X8287","X8295",0.271628425468462
"17","X8192","X8216",0.268663104596616
"102","X8247","X8269",0.268586952642898
"149","X8246","X8288",0.267035424718318
"146","X8191","X8288",0.265707634720386
"141","X8207","X8287",0.265062066269309
"1","X8191","X8193",0.264863313945451
"63","X8235","X8246",0.264696486889903
"87","X8191","X8263",0.263990165452835
"52","X8185","X8235",0.263005185869078
"153","X8221","X8290",0.262486273358742
"179","X8231","X8296",0.26182784197242
"142","X8221","X8287",0.261641797355517
"30","X8211","X8223",0.2614726810388
"140","X8201","X8287",0.260673074976871
"8","X8194","X8201",0.258657824893245
"181","X8269","X8296",0.257938667752098
"105","X8199","X8270",0.256033560668033
"58","X8192","X8243",0.255960323695675
"84","X8248","X8260",0.255789793739504
"156","X8193","X8291",0.254795627409568
"10","X8186","X8203",0.254161831627805
"122","X8186","X8275",0.253140979873231
"68","X8234","X8248",0.251764525016505
"86","X8255","X8262",0.250985430546157
"96","X8201","X8268",0.250425497088467
"106","X8215","X8270",0.246942501605007
"75","X8203","X8257",0.246371123789977
"15","X8192","X8215",0.245808001929823
"73","X8217","X8255",0.24467793145019
"163","X8224","X8292",0.244308691021187
"160","X8205","X8292",0.243936658709424
"43","X8226","X8230",0.24315010530133
"34","X8184","X8225",0.242138246650562
"48","X8223","X8232",0.240470912804387
"173","X8196","X8294",0.239486230253073
"5","X8193","X8194",0.23947755517405
"20","X8215","X8216",0.238796190412486
"4","X8191","X8194",0.238042340014388
"79","X8253","X8258",0.237987172448338
"161","X8208","X8292",0.235693191827957
"31","X8205","X8224",0.235303426922895
"27","X8207","X8221",0.235252819413593
"133","X8206","X8283",0.23464548610525
"12","X8197","X8209",0.234596776319751
"170","X8280","X8293",0.234556089414631
"174","X8293","X8294",0.233803391266298
"65","X8234","X8247",0.233230570442218
"168","X8269","X8293",0.233130317446218
"6","X8194","X8196",0.231082316497138
