"","Item1","Item2","Q3"
"191","X8676","X8742",0.62161132462786
"64","X8699","X8703",0.570465988717993
"195","X8720","X8742",0.499837326660062
"76","X8697","X8707",0.492776431583005
"80","X8699","X8708",0.479095726343906
"72","X8639","X8706",0.476328495432
"41","X8681","X8691",0.47452747029991
"7","X8649","X8659",0.445038889206334
"196","X8657","X8743",0.437130082318802
"125","X8706","X8724",0.433464835193624
"166","X8658","X8737",0.42962479042571
"181","X8681","X8740",0.409273257708112
"182","X8691","X8740",0.407202673447796
"39","X8670","X8691",0.404818753962384
"32","X8649","X8685",0.403421735829624
"53","X8642","X8701",0.399459596887408
"179","X8670","X8740",0.398715945173369
"28","X8668","X8681",0.393994436265158
"66","X8654","X8704",0.385584932309911
"92","X8707","X8712",0.377963079661331
"89","X8681","X8711",0.374598850328777
"63","X8690","X8703",0.374281725186998
"102","X8675","X8716",0.374136321523002
"38","X8668","X8691",0.372401015589059
"152","X8649","X8732",0.368987330589932
"94","X8695","X8713",0.367676774244174
"46","X8693","X8694",0.363648152829623
"110","X8688","X8718",0.361795892527668
"170","X8706","X8737",0.361243171865311
"198","X8720","X8743",0.357222340503496
"44","X8664","X8694",0.353775638598121
"178","X8668","X8740",0.353769020692765
"172","X8724","X8737",0.351715746538948
"81","X8703","X8708",0.351077669909006
"136","X8670","X8729",0.349065811118575
"34","X8669","X8686",0.34559766606852
"83","X8667","X8709",0.343557057935685
"106","X8695","X8717",0.343006095931795
"130","X8695","X8727",0.341513936150856
"199","X8742","X8743",0.340997230659896
"29","X8670","X8681",0.339458193784871
"51","X8690","X8699",0.337855373104876
"59","X8695","X8702",0.334858498693102
"104","X8641","X8717",0.331717003632702
"159","X8681","X8733",0.331423850434982
"111","X8649","X8719",0.329935801387042
"126","X8641","X8726",0.328404358912876
"36","X8637","X8689",0.328315044841576
"75","X8648","X8707",0.327914256701946
"26","X8670","X8680",0.326079853849594
"49","X8677","X8699",0.323324498819507
"2","X8642","X8652",0.322061615772371
"79","X8677","X8708",0.319893623955475
"105","X8692","X8717",0.318594928972063
"73","X8658","X8706",0.314637186695393
"43","X8641","X8692",0.314402109357893
"11","X8657","X8666",0.313345708721187
"14","X8663","X8670",0.312899311097983
"55","X8660","X8701",0.310924989391331
"23","X8672","X8678",0.310096112070524
"158","X8680","X8733",0.308995059477789
"84","X8695","X8709",0.308599525252498
"16","X8661","X8671",0.306519817944571
"123","X8658","X8724",0.305545149535509
"121","X8639","X8724",0.305541464484674
"77","X8653","X8708",0.304698185541746
"113","X8676","X8720",0.303911737362399
"37","X8677","X8690",0.303731288727652
"153","X8681","X8732",0.301667803463038
"24","X8663","X8680",0.300655146683761
"42","X8640","X8692",0.298749930036765
"176","X8657","X8739",0.29749686697886
"68","X8641","X8705",0.296907697827958
"131","X8702","X8727",0.296196303884357
"99","X8670","X8715",0.296146235250679
"47","X8667","X8695",0.2933017194268
"88","X8670","X8711",0.289927945600227
"3","X8649","X8653",0.289255298810053
"9","X8646","X8662",0.287560611344006
"1","X8638","X8639",0.287299581974635
"95","X8702","X8713",0.286281808060507
"180","X8680","X8740",0.285167000994795
"35","X8658","X8688",0.284276836640932
"18","X8666","X8672",0.283521099296415
"116","X8646","X8722",0.282454309379267
"174","X8660","X8738",0.281843393160811
"119","X8675","X8723",0.280657530813834
"90","X8691","X8711",0.276247566983671
"175","X8690","X8738",0.270575608381632
"161","X8694","X8733",0.268239686082302
"184","X8711","X8740",0.268160735087901
"148","X8654","X8731",0.267094931622046
"138","X8681","X8729",0.26648696958213
"58","X8692","X8702",0.266279729099619
"133","X8713","X8727",0.26366077334442
"189","X8643","X8742",0.263197528880488
"98","X8664","X8715",0.261805933013078
"157","X8670","X8733",0.261696437238304
"147","X8653","X8731",0.261390998658677
"129","X8667","X8727",0.260823854228076
"10","X8643","X8666",0.260818660413262
"187","X8733","X8740",0.259413030348507
"169","X8704","X8737",0.257267458394837
"25","X8664","X8680",0.256993980520268
"91","X8678","X8712",0.255290801183148
"4","X8638","X8654",0.255129115004434
"86","X8647","X8710",0.253720855143556
"135","X8663","X8729",0.252486771052561
"160","X8691","X8733",0.251901589412605
"186","X8729","X8740",0.25179588802903
"165","X8639","X8737",0.251654010090674
"128","X8641","X8727",0.249431360203116
"149","X8701","X8731",0.24919931852548
"112","X8659","X8719",0.249161337053385
"141","X8686","X8730",0.247247484884307
"127","X8717","X8726",0.245976465375253
"96","X8709","X8713",0.245601974163587
"21","X8654","X8677",0.245305488821032
"114","X8718","X8720",0.245299405652456
"5","X8651","X8655",0.243092299213601
"177","X8663","X8740",0.242402378263697
"117","X8672","X8722",0.241707645296509
"27","X8663","X8681",0.238636384043624
"188","X8677","X8741",0.238079474276363
"109","X8713","X8717",0.237078090918949
"61","X8683","X8703",0.237076517679516
"40","X8680","X8691",0.236842291105558
"122","X8654","X8724",0.235549824712656
