Model_Name,Theta_ATLAS,Theta_WLE,SE,Num_Items,Time_Taken_Sec
gradientai/Llama-3-70B-Instruct-Gradient-524k,-0.368771218582361,-0.369515048182142,0.0773399373360345,30,15.7605748176575
Weyaxi/Astralis-4x34B,-0.232499763143337,-0.144494674647865,0.0787564307736632,30,15.7763876914978
BarraHome/zephyr-dpo-v2,-0.291300402379055,-0.377448879782444,0.0927722955652924,30,15.9539430141449
jeiku/Lunar_10.7B,-0.292842921191103,-0.0673779140176447,0.10362060892535,30,15.8271157741547
kyujinpy/SOLAR-Platypus-10.7B-v1,0.226930189224503,0.121992371404085,0.111833744852601,30,15.8461081981659
Mihaiii/Pallas-0.5-frankenmerge,-0.280001378057143,-0.872315031610858,0.0777320725357212,30,15.8833789825439
chansung/gpt4-alpaca-lora-13b-decapoda-1024,-0.728642120299863,-0.75545010273147,0.130724247538233,30,15.8966166973114
qualis2006/llama-2-7b-int4-python-code-18k,-1.37895495890263,-1.08771271990917,0.146656260328269,30,15.7972543239594
vicgalleorg/test1,0.993100122563671,0.294701558133282,0.0808333229493905,30,15.8707392215729
Charlie911/vicuna-7b-v1.5-lora-mixed-datasets,-1.44754825779024,-1.28849399779758,0.150808572839012,30,15.9432137012482
abhinand/tamil-llama-7b-base-v0.1,-1.49503629854186,-1.41419360847155,0.132513100748337,30,15.7969214916229
jpechg/Sour-Marcoro-12.5B,-0.0187128520701525,-0.0365376639240633,0.0870306805693124,30,15.9331753253937
azarafrooz/mistral-7b-selfplay-v0,-0.302133408031753,-0.643542092028628,0.0778323464462635,30,15.7881197929382
flammenai/Mahou-1.2-mistral-7B,0.998674731587607,0.920187373535848,0.0834225071780063,30,15.8396067619324
TheBloke/guanaco-7B-HF,-1.27082518623542,-1.30113855622054,0.15553900498958,30,15.8160712718964
LTC-AI-Labs/L2-7b-Base-WVG-Uncensored,-1.31136594464435,-1.14491762283908,0.152417902225399,30,15.950272321701
nextai-team/Moe-4x7b-reason-code-qa,0.0845639416496244,0.100610068248146,0.0941040305118486,30,15.9818451404572
Steelskull/Umbra-v3-MoE-4x11b,0.720494327622769,0.384213124917851,0.0902042389031097,30,15.9674289226532
johnsnowlabs/JSL-MedLlama-3-8B-v2.0,-0.925058984335508,-0.965719608752979,0.151975658167385,30,15.818895816803
hamxea/StableBeluga-7B-activity-fine-tuned-v2,-0.892261850776417,-1.0601399190006,0.216010816675226,30,15.9092373847961
TheBloke/Llama-2-13B-GPTQ,-0.883121995553387,-0.732531038832479,0.152493107180715,30,15.9217088222504
Nitral-AI/Eris_PrimeV4-Vision-7B,1.1778475122733,1.21138670698688,0.0653441691568733,30,15.9114999771118
arlineka/Brunhilde-13b-v1,-0.740357740951844,-0.756695520746765,0.133087111305078,30,15.8714985847473
Zardos/Kant-Test-0.1-Mistral-7B,0.0597494305248898,0.145407998360367,0.087670821384596,30,15.9389183521271
airesearch/typhoon-7b-WangchanX-sft-Demo,-0.258861490235606,-0.294863791321566,0.0788568833487758,30,15.8451676368713
paulilioaica/Collin-7B-dare,-0.325284866654684,-0.210067430928529,0.0804988068090134,30,15.7695364952087
ledjo/Gabriel-8x7B-Instruct-v0.1,-0.139414283506786,-0.176559060498144,0.0793212473288175,30,15.6674420833588
wenge-research/yayi-13b-llama2,-1.23016460819329,-1.31209907446826,0.170050696504608,30,15.5724103450775
amazingvince/Not-WizardLM-2-7B,0.0115930397130897,-0.173811162489201,0.0930457461499111,30,15.6313655376434
APMIC/caigun-lora-model-34B-v3,-0.234644334668084,-0.308930837687993,0.0826655695708507,30,15.5299556255341
luqmanxyz/LelaStarling-7B,0.988043729155952,1.04812184170818,0.0805855543631188,30,15.5777719020844
Weyaxi/MetaMath-neural-chat-7b-v3-2-Slerp,0.603581341009697,0.578008874540047,0.097163499128055,30,15.5581634044647
jondurbin/airoboros-l2-70b-gpt4-1.4.1,-0.252105756818579,-0.176096416176831,0.0786624930998491,30,15.5130615234375
migtissera/SynthIA-7B-v1.5,0.261730811542198,0.32153754841956,0.105169153052542,30,15.40012383461
bababababooey/mergekit-slerp-mntqhzv,0.557192149090065,0.148598200912188,0.100607812013653,30,15.4840316772461
ichigoberry/pandafish-7b,0.404648404446566,0.541767976546108,0.102184641510018,30,15.5143644809723
Locutusque/OpenCerebrum-2.0-7B,0.136539228449417,0.199230084901372,0.0987673694189687,30,15.4499967098236
